Model,Accuracy,F1 Score,Precision,Recall,ROC AUC
LightGBM,0.843530249267275,0.699539452922145,0.7485952902831281,0.6565989971865893,0.9072550785210467
XGBoost,0.840112971567519,0.6974087219284911,0.7342934740798426,0.6641196945239389,0.9053615968204859
Random Forest,0.8410002174040638,0.6844862110452193,0.7614075621799615,0.621720295391473,0.9013762043419652
Gradient Boosting,0.8320299818679693,0.6684016988935233,0.7388918605437289,0.6102910837829058,0.8951055696228153
Logistic Regression,0.7977098643237502,0.5736832073828805,0.690801453144761,0.4906724046430481,0.8431569079296469
K-Nearest Neighbors,0.8013900134838025,0.6142237869196123,0.6660050384849032,0.5700233512916846,0.8394984308939912
